element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),template_model,Data Source (BEAM Material)
Element_0,0.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_1,1.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_2,2.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_3,3.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_4,4.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_5,5.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_6,6.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_7,7.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_8,8.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",17149.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_9,9.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: beams,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",217730.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_10,10.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: girders,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",89824.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_11,11.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural columns,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",44674.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_12,12.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_13,13.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT1_ENCR1,
Element_14,6.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Insulation,"3.5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",8366.0,"Kaleidoscope Calculator, Payette",STR1_ENCO10_ENCT1_ENCR1,
Element_15,7.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975.0,"Kaleidoscope Calculator, Payette",STR1_ENCO10_ENCT1_ENCR1,
Element_16,8.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Exterior finish,Enamel paint,"Paint, enamel, solvent based",661.0,"Kaleidoscope Calculator, Payette",STR1_ENCO10_ENCT1_ENCR1,
Element_17,9.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Exterior finish,Formed steel sheet,"Steel, sheet",11388.0,"Kaleidoscope Calculator, Payette",STR1_ENCO10_ENCT1_ENCR1,
Element_18,10.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Support,Galvanized steel support,Galvanized steel,4039.0,"Kaleidoscope Calculator, Payette",STR1_ENCO10_ENCT1_ENCR1,
Element_19,11.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644.0,"Kaleidoscope Calculator, Payette",STR1_ENCO10_ENCT1_ENCR1,
Element_20,12.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Support,Stainless steel fasteners,"Fasteners, stainless steel",323.0,"Kaleidoscope Calculator, Payette",STR1_ENCO10_ENCT1_ENCR1,
Element_21,13.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719.0,"Kaleidoscope Calculator, Payette",STR1_ENCO10_ENCT1_ENCR1,
Element_22,14.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261.0,"Kaleidoscope Calculator, Payette",STR1_ENCO10_ENCT1_ENCR1,
Element_23,15.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Thermal break,Thermal break,"Adhesive, polychloroprene (neoprene)",96.0,"Kaleidoscope Calculator, Payette",STR1_ENCO10_ENCT1_ENCR1,
Element_24,16.0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509.0,"Kaleidoscope Calculator, Payette",STR1_ENCO10_ENCT1_ENCR1,
Element_25,0.0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing: double pane IGU,Glazing,Double pane IGU,"Glazing, double, insulated (air)",35343.0,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",STR1_ENCO10_ENCT1_ENCR1,
Element_26,0.0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829.0,,STR1_ENCO10_ENCT1_ENCR1,
Element_27,1.0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755.0,,STR1_ENCO10_ENCT1_ENCR1,
Element_0,0.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_1,1.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_2,2.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_3,3.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_4,4.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_5,5.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_6,6.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_7,7.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_8,8.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",17149.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_9,9.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: beams,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",217730.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_10,10.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: girders,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",89824.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_11,11.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural columns,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",44674.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_12,12.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
Element_13,13.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267.0,Calculated from takeoff from Revit,STR1_ENCO10_ENCT2_ENCR1,
