element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (Material Quantities),Building Material_name,life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential,template_model,Data Source (BEAM Material)
Element_0,0.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",169198.0,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,Enhanced Waste Management,1823.2151719768965,-22.9515479619,0.0,0.0,4.63186797806832,0.318273928873152,102.48815280323362,1.8588906866851208e-07,STR1_ENCO10_ENCT1_ENCR1,
Element_1,1.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Steel reinforcement,"Steel, reinforcing rod",12633.0,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,Enhanced Waste Management,376.8299087400162,-1.932849,0.0,0.0,1.598189509417104,0.0501236095576644,20.31231645421542,-1.5568943808002435e-06,STR1_ENCO10_ENCT1_ENCR1,
Element_2,2.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",309582.0,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,Enhanced Waste Management,3335.9413194656645,-41.99450419710001,0.0,0.0,8.47494032072688,0.582346596581568,187.52282722686243,3.4012168971580805e-07,STR1_ENCO10_ENCT1_ENCR1,
Element_3,3.0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Steel reinforcement,"Steel, reinforcing rod",23115.0,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,Enhanced Waste Management,689.497612643511,-3.536595,0.0,0.0,2.92425793637112,0.0917127550799819,37.1660884064901,-2.848698932335758e-06,STR1_ENCO10_ENCT1_ENCR1,
Element_4,4.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Concrete slab on grade,"Structural concrete, 4000 psi, 20% fly ash",535815.0,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,Enhanced Waste Management,5773.744591382881,-72.68279572575001,0.0,0.0,14.6681659397196,1.0079075710065604,324.55873943110805,5.886721552773602e-07,STR1_ENCO10_ENCT1_ENCR1,
Element_5,5.0,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh",3601.0,Calculated from takeoff from Revit,"Steel, welded wire mesh",A5: Construction,Enhanced Waste Management,145.0895186930514,-0.5410682549999999,0.0,0.0,0.444381959150688,0.0164544552292067,6.090868237063741,-6.377021989970893e-07,STR1_ENCO10_ENCT1_ENCR1,
Element_6,6.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi, 20% fly ash",2551980.0,Calculated from takeoff from Revit,"Lightweight concrete, 5000 psi",A5: Construction,Enhanced Waste Management,23493.48150031548,-249.882480858,0.0,0.0,92.91035673254162,3.88675973868576,1329.897200209668,1.40342075306256e-06,STR1_ENCO10_ENCT1_ENCR1,
Element_7,7.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel deck,Galvanized steel decking,132267.0,Calculated from takeoff from Revit,"Steel decking, galvanized",A5: Construction,Enhanced Waste Management,17582.25760570615,-331.99017000000003,0.0,0.0,93.20815981318032,4.044139678518852,1401.3148558603689,0.0003875025091185,STR1_ENCO10_ENCT1_ENCR1,
Element_8,8.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh",17149.0,Calculated from takeoff from Revit,"Steel, welded wire mesh",A5: Construction,Enhanced Waste Management,690.9581105434987,-2.576722995,0.0,0.0,2.116274984025312,0.0783608588518931,29.00647025754126,-3.0369216913638105e-06,STR1_ENCO10_ENCT1_ENCR1,
Element_9,9.0,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: beams,Steel W Shape,"Hot rolled structural steel, AISC - EPD",217730.0,Calculated from takeoff from Revit,"Steel, hot rolled structural steel",A5: Construction,Enhanced Waste Management,5628.847410736871,-5.53578525,0.0,0.0,30.1937635933904,0.7110382216769401,194.664409472317,3.10798399311014e-06,STR1_ENCO10_ENCT1_ENCR1,
