Revit model,Revit design option,Revit general category,Revit category,Revit type,Revit family name,Revit material name,Revit building element,Thickness of material (m),Total instance count,Cumulative material volume (m3),Cumulative material area (m2),Cumulative instance volume (m3),Cumulative instance area (m2),Cumulative instance length (m),Cumulative instance perimeter (m),Tally Entry Division,Tally Entry Category,Tally Entry Name,Tally Entry Description,Material Group,Material Name,Life Cycle Stage,Service Life,Acidification Potential Total (kgSO2eq),Eutrophication Potential Total (kgNeq),Global Warming Potential Total (kgCO2eq),Ozone Depletion Potential Total (CFC-11eq),Smog Formation Potential Total (kgO3eq),Primary Energy Demand Total (MJ),Non-renewable Energy Demand Total (MJ),Renewable Energy Demand Total (MJ),Mass Total (kg)
M3.1 Revit Model.rvt,Embodied,Curtainwall Mullions,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,0,1280,1.302837136,206.8228122,1.302837136,103.4114061,2019.4016,0,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish","Extruded aluminum member for use in storefront, window, and curtainwall assemblies. User to select from typical mullion sizes and finishes.   NOTE: Custom mullions can be created by inputing the cross sectional area (in2 or cm2) or linear weight (lbs/ft or kg/m), and also indicating the perimeter length (in or cm) of the member in order to enable calculation of surface area covered by coatings or finishes.",Metal,"Aluminum extrusion, mill-finished, Kawneer - EPD",[A1-A3] Product,60,65.41669591,1.758489487,12883.76282,1.38E-05,490.0708406,194032.5726,166978.8882,27053.68441,2217.515116
M3.1 Revit Model.rvt,Embodied,Curtainwall Mullions,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,0,1280,1.302837136,206.8228122,1.302837136,103.4114061,2019.4016,0,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish","Extruded aluminum member for use in storefront, window, and curtainwall assemblies. User to select from typical mullion sizes and finishes.   NOTE: Custom mullions can be created by inputing the cross sectional area (in2 or cm2) or linear weight (lbs/ft or kg/m), and also indicating the perimeter length (in or cm) of the member in order to enable calculation of surface area covered by coatings or finishes.",Metal,"Aluminum extrusion, mill-finished, Kawneer - EPD",[A4] Transportation,60,0.371963768,0.030286378,80.27360368,2.75E-12,12.29097668,1167.348742,1139.414704,28.22808042,
M3.1 Revit Model.rvt,Embodied,Curtainwall Mullions,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,0,1280,1.302837136,206.8228122,1.302837136,103.4114061,2019.4016,0,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish","Extruded aluminum member for use in storefront, window, and curtainwall assemblies. User to select from typical mullion sizes and finishes.   NOTE: Custom mullions can be created by inputing the cross sectional area (in2 or cm2) or linear weight (lbs/ft or kg/m), and also indicating the perimeter length (in or cm) of the member in order to enable calculation of surface area covered by coatings or finishes.",Metal,"Aluminum extrusion, mill-finished, Kawneer - EPD",[B2-B5] Maintenance and Replacement,60,0,0,0,0,0,0,0,0,0
M3.1 Revit Model.rvt,Embodied,Curtainwall Mullions,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,0,1280,1.302837136,206.8228122,1.302837136,103.4114061,2019.4016,0,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish","Extruded aluminum member for use in storefront, window, and curtainwall assemblies. User to select from typical mullion sizes and finishes.   NOTE: Custom mullions can be created by inputing the cross sectional area (in2 or cm2) or linear weight (lbs/ft or kg/m), and also indicating the perimeter length (in or cm) of the member in order to enable calculation of surface area covered by coatings or finishes.",Metal,"Aluminum extrusion, mill-finished, Kawneer - EPD",[C2-C4] End of Life,60,0.022618654,0.00114202,4.878533254,8.98E-13,0.447938053,83.60031986,78.05653207,5.521612638,
M3.1 Revit Model.rvt,Embodied,Curtainwall Mullions,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,0,1280,1.302837136,206.8228122,1.302837136,103.4114061,2019.4016,0,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish","Extruded aluminum member for use in storefront, window, and curtainwall assemblies. User to select from typical mullion sizes and finishes.   NOTE: Custom mullions can be created by inputing the cross sectional area (in2 or cm2) or linear weight (lbs/ft or kg/m), and also indicating the perimeter length (in or cm) of the member in order to enable calculation of surface area covered by coatings or finishes.",Metal,"Aluminum extrusion, mill-finished, Kawneer - EPD",[D] Module D,60,-3.171046615,-0.051002848,-483.4182952,-2.18E-08,-24.61441778,-7428.675637,-4568.081138,-2860.594499,
M3.1 Revit Model.rvt,Embodied,Curtainwall Mullions,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,0,1280,1.302837136,206.8228122,1.302837136,103.4114061,2019.4016,0,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish","Extruded aluminum member for use in storefront, window, and curtainwall assemblies. User to select from typical mullion sizes and finishes.   NOTE: Custom mullions can be created by inputing the cross sectional area (in2 or cm2) or linear weight (lbs/ft or kg/m), and also indicating the perimeter length (in or cm) of the member in order to enable calculation of surface area covered by coatings or finishes.",Metal Coating,"Powder coating, metal stock",[A1-A3] Product,60,0.951798582,0.111312038,863.0715951,3.52E-10,17.50341459,15809.53576,14438.30052,1338.970886,80.66089674
M3.1 Revit Model.rvt,Embodied,Curtainwall Mullions,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,0,1280,1.302837136,206.8228122,1.302837136,103.4114061,2019.4016,0,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish","Extruded aluminum member for use in storefront, window, and curtainwall assemblies. User to select from typical mullion sizes and finishes.   NOTE: Custom mullions can be created by inputing the cross sectional area (in2 or cm2) or linear weight (lbs/ft or kg/m), and also indicating the perimeter length (in or cm) of the member in order to enable calculation of surface area covered by coatings or finishes.",Metal Coating,"Powder coating, metal stock",[A4] Transportation,60,0,0,0,0,0,0,0,0,
M3.1 Revit Model.rvt,Embodied,Curtainwall Mullions,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,0,1280,1.302837136,206.8228122,1.302837136,103.4114061,2019.4016,0,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish","Extruded aluminum member for use in storefront, window, and curtainwall assemblies. User to select from typical mullion sizes and finishes.   NOTE: Custom mullions can be created by inputing the cross sectional area (in2 or cm2) or linear weight (lbs/ft or kg/m), and also indicating the perimeter length (in or cm) of the member in order to enable calculation of surface area covered by coatings or finishes.",Metal Coating,"Powder coating, metal stock",[B2-B5] Maintenance and Replacement,60,0,0,0,0,0,0,0,0,0
M3.1 Revit Model.rvt,Embodied,Curtainwall Mullions,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,0,1280,1.302837136,206.8228122,1.302837136,103.4114061,2019.4016,0,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish","Extruded aluminum member for use in storefront, window, and curtainwall assemblies. User to select from typical mullion sizes and finishes.   NOTE: Custom mullions can be created by inputing the cross sectional area (in2 or cm2) or linear weight (lbs/ft or kg/m), and also indicating the perimeter length (in or cm) of the member in order to enable calculation of surface area covered by coatings or finishes.",Metal Coating,"Powder coating, metal stock",[C2-C4] End of Life,60,0.016374162,0.000830807,3.549079457,6.53E-13,0.325063414,60.81831614,56.8659322,4.008846568,
M3.1 Revit Model.rvt,Embodied,Curtainwall Mullions,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,0,1280,1.302837136,206.8228122,1.302837136,103.4114061,2019.4016,0,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish","Extruded aluminum member for use in storefront, window, and curtainwall assemblies. User to select from typical mullion sizes and finishes.   NOTE: Custom mullions can be created by inputing the cross sectional area (in2 or cm2) or linear weight (lbs/ft or kg/m), and also indicating the perimeter length (in or cm) of the member in order to enable calculation of surface area covered by coatings or finishes.",Metal Coating,"Powder coating, metal stock",[D] Module D,60,0,0,0,0,0,0,0,0,
